Date,Open,High,Low,Close,Volume,sentiment_polarity,sentiment_subjectivity
2024-04-05,169.59,170.39,168.95,169.58,42104826.0,0.23799410774410776,0.5588745791245792
2024-04-08,169.03,169.2,168.24,168.45,37425513.0,0.039357864357864356,0.5446408529741863
2024-04-09,168.7,170.08,168.35,169.67,42451209.0,0.1448299357072649,0.46397150482942406
2024-04-10,168.8,169.09,167.11,167.78,49691936.0,0.21893106232391948,0.6234084037655466
2024-04-11,168.34,175.46,168.16,175.04,91053075.0,0.2456147504456328,0.4777340421016891
2024-04-12,174.26,178.36,174.21,176.55,101282386.0,0.12472389713461142,0.43911005500685124
2024-04-15,175.36,176.63,172.5,172.69,70733115.0,0.0846957671957672,0.42413139329806
2024-04-16,171.75,173.76,168.27,169.38,71583932.0,0.14493722943722945,0.36701827801827797
2024-04-17,169.61,170.65,168.0,168.0,48503680.0,0.1802825126262626,0.6193866492303992
2024-04-18,168.03,168.64,166.55,167.04,40735511.0,0.22876984126984126,0.5799603174603175
2024-04-19,166.21,166.4,164.075,165.0,66084170.0,0.10982932499599166,0.33248729357062695
2024-04-22,165.515,167.26,164.77,165.84,46488244.0,0.24901498159650332,0.526569473199908
2024-04-23,165.35,167.05,164.92,166.9,46956672.0,0.0843814620124144,0.45817154538583105
2024-04-24,166.54,169.3,166.21,169.02,47007455.0,0.253603695687029,0.527754529421196
2024-04-25,169.525,170.61,168.1511,169.89,48858902.0,0.17794669086112938,0.365265981790046
2024-04-26,169.88,171.34,169.18,169.3,44014087.0,0.10587524539730421,0.4510209425650602
2024-04-29,173.37,176.03,173.1,173.5,66891905.0,0.12412118563133057,0.4813706565308014
2024-04-30,173.33,174.99,170.0,170.33,64066593.0,0.13229315327529614,0.39531941273012705
2024-05-01,169.58,172.705,169.11,169.3,48416441.0,0.13964598383212934,0.4184148729667306
2024-05-02,172.51,173.415,170.89,173.03,91402452.0,0.05767498972748109,0.308936141783204
2024-05-03,186.645,187.0,182.66,183.38,160948084.0,0.12473929393471303,0.4448808672556236
2024-05-06,182.354,184.2,180.42,181.71,75883763.0,0.14141344868366928,0.32477160094807156
2024-05-07,183.45,184.9,181.32,182.4,74139796.0,0.12867222550177096,0.38055094778958415
2024-05-08,182.85,183.07,181.45,182.74,43762264.0,0.1369072215663125,0.4016882296995934
2024-05-09,182.56,184.66,182.11,184.57,47493785.0,0.07524891774891776,0.29231962481962476
2024-05-10,184.9,185.09,182.13,183.05,48525869.0,0.18717742165066975,0.5079722180089131
2024-05-13,185.435,187.1,184.62,186.28,68586935.0,0.11582268486873751,0.35983217197032985
2024-05-14,187.51,188.3,186.29,187.43,50551025.0,0.2601527510555288,0.4883800304633638
2024-05-15,187.91,190.65,187.37,189.72,67561123.0,0.20264172335600908,0.4826406814372653
2024-05-16,190.47,191.095,189.6601,189.84,51938566.0,0.16062008978675646,0.3940155523488857
2024-05-17,189.51,190.81,189.18,189.87,39819440.0,0.03436853002070393,0.3466356107660456
2024-05-20,189.325,191.9199,189.01,191.04,43637717.0,0.06695362718089991,0.20994523153614064
